year,date,message_count
2019,2019-08-19,22
2019,2019-11-14,27
2019,2019-11-15,41
2020,2020-01-07,54
2020,2020-03-10,39
2020,2020-03-15,35
2020,2020-03-17,30
2020,2020-03-21,35
2020,2020-04-20,23
2020,2020-05-01,28
2020,2020-05-02,28
2020,2020-05-29,46
2020,2020-07-30,27
2020,2020-07-31,23
2020,2020-09-21,27
2021,2021-01-21,26
2021,2021-05-21,32
2021,2021-05-26,47
2021,2021-06-08,21
2021,2021-08-07,24
2021,2021-08-21,33
2021,2021-11-06,31
2021,2021-12-02,37
2021,2021-12-03,52
2021,2021-12-07,24
2022,2022-06-05,20
2022,2022-07-30,22
2022,2022-11-25,23
2022,2022-12-04,22
2023,2023-08-06,26
2023,2023-10-27,40
2024,2024-02-13,20
2024,2024-02-28,24
2024,2024-03-22,21
2024,2024-05-11,22
2024,2024-11-22,30
2025,2025-07-25,23
2025,2025-08-02,23
2025,2025-09-04,21
